State;pollster;end_date;method;source;affiliation;survey_houses;sponsors;questions;VoterStats;VoterStatsNum;Candidate1;Percent1;Candidate2;Percent2;Candidate3;Percent3;Candidate4;Percent4;Candidate5;Percent5;Candidate6;Percent6;Candidate7;Percent7;Candidate8;Percent8;Candidate9;Percent9
OH;Rasmussen;2012-03-04;Automated Phone;http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/ohio/2012_ohio_republican_primary;None;|Rasmussen Reports||N/A|;|FOX News||N/A|;2012 Ohio GOP Primary;Likely Voters - Republican;750;Romney;31;Gingrich;13;Paul;13;Santorum;32;Other;3;Undecided;6;;;;;;
OH;Quinnipiac;2012-03-04;Live Phone;http://www.quinnipiac.edu/institutes-and-centers/polling-institute/ohio/release-detail?ReleaseID=1715;None;|Quinnipiac University||N/A|;2012 Ohio GOP Primary;2012-ohio-gop-primary;Likely Voters - Republican;753;Romney;34;Gingrich;15;Paul;12;Santorum;31;Undecided;7;;;;;;;;
OH;PPP (D);2012-03-04;Automated Phone;http://www.publicpolicypolling.com/pdf/2011/PPP_Release_SuperTuesday_305.pdf;Dem;|Public Policy Polling (D)||Dem|;2012 Ohio GOP Primary;2012-ohio-gop-primary;Likely Voters - Republican;666;Romney;37;Gingrich;15;Paul;11;Santorum;36;;;;;;;;;;
OH;Ipsos/Reuters;2012-03-03;Internet;http://www.reuters.com/article/2012/03/04/us-usa-campaign-ohio-poll-idUSTRE82303R20120304;None;|Ipsos||N/A|;|Reuters||N/A|;2012 Ohio GOP Primary;Likely Voters - Republican;917;Romney;32;Gingrich;17;Paul;6;Santorum;32;;;;;;;;;;
OH;NBC/Marist;2012-03-02;Live Phone;http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/120304NBCMaristOhioMarch2012.pdf;None;|Marist College||N/A|;|NBC News||N/A|;2012 Ohio GOP Primary;Likely Voters - Republican;820;Romney;32;Gingrich;15;Paul;13;Santorum;34;Other;1;Undecided;6;;;;;;
OH;Rasmussen;2012-03-01;Automated Phone;http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/ohio/2012_ohio_republican_primary;None;|Rasmussen Reports||N/A|;|FOX News||N/A|;2012 Ohio GOP Primary;Likely Voters - Republican;750;Romney;31;Gingrich;15;Paul;11;Santorum;33;Other;2;Undecided;8;;;;;;
PA;Rasmussen;2012-04-04;Automated Phone;http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/pennsylvania/2012_pennsylvania_republican_primary;None;|Rasmussen Reports||N/A|;;2012 Pennsylvania GOP Primary;Likely Voters - Republican;750;Romney;38;Gingrich;6;Paul;7;Santorum;42;Other;2;Undecided;5;;;;;;
PA;PPP (D);2012-04-04;Automated Phone;http://www.publicpolicypolling.com/pdf/2011/PPP_Release_PA_404.pdf;Dem;|Public Policy Polling (D)||Dem|;;2012 Pennsylvania GOP Primary;Likely Voters - Republican;403;Romney;42;Gingrich;6;Paul;9;Santorum;37;Undecided;6;;;;;;;;
PA;Quinnipiac;2012-04-01;Live Phone;http://www.quinnipiac.edu/institutes-and-centers/polling-institute/pennsylvania/release-detail?ReleaseID=1731;None;|Quinnipiac University||N/A|;;2012 Pennsylvania GOP Primary;Likely Voters - Republican;647;Romney;35;Gingrich;7;Paul;10;Santorum;41;Undecided;6;;;;;;;;
PA;Franklin and Marshall College;2012-03-25;Live Phone;http://images.lancasteronline.com/local_old/305240/F-MPollOctober2010.pdf;None;|Franklin & Marshall College||N/A|;;2012 Pennsylvania GOP Primary;Registered Voters - Republican;505;Romney;28;Gingrich;6;Paul;9;Santorum;30;Other;3;Undecided;24;;;;;;
PA;Susquehanna (R);2011-12-11;Automated Phone;http://big.assets.huffingtonpost.com/Toplines-Media-Statewide-June2011.pdf;Rep;|Susquehanna Polling & Research||Rep|;;2012 Pennsylvania GOP Primary;Registered Voters;1106;Romney;18;Bachmann;6;Gingrich;35;Paul;8;Perry;2;Santorum;18;Undecided;14;;;;
SC;ARG;2012-01-20;Live Phone;http://americanresearchgroup.com/pres2012/primary/rep/sc/;None;|American Research Group||N/A|;;2012 South Carolina GOP Primary;Likely Voters - Republican;600;Romney;26;Gingrich;40;Paul;18;Santorum;13;Other;1;Undecided;2;;;;;;
SC;YouGov/Polimetrix;2012-01-20;Internet;http://today.yougov.com/news/2012/01/20/2012-SC-primary-poll/;None;|YouGov||N/A|;;2012 South Carolina GOP Primary;Likely Voters - Republican;339;Romney;29;Gingrich;33;Paul;18;Santorum;16;;;;;;;;;;
SC;Clemson;2012-01-19;Live Phone;http://www.clemson.edu/media-relations/files/articles/2012/4047_1459_executivesummary.pdf;None;|Clemson University Palmetto Poll||N/A|;;2012 South Carolina GOP Primary;Likely Voters - Republican;429;Romney;26;Gingrich;32;Paul;11;Santorum;9;Undecided;20;;;;;;;;
SC;We Ask America;2012-01-19;Automated Phone;http://weaskamerica.com/2012/01/19/exits-exs/;None;|We Ask America||N/A|;;2012 South Carolina GOP Primary;Likely Voters - Republican;988;Romney;28;Gingrich;32;Huntsman;3;Paul;13;Perry;3;Santorum;9;Undecided;14;;;;
SC;Rasmussen;2012-01-18;Automated Phone;http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/south_carolina/election_2012_south_carolina_republican_primary;None;|Rasmussen Reports||N/A|;;2012 South Carolina GOP Primary;Likely Voters - Republican;750;Romney;31;Gingrich;33;Paul;15;Perry;2;Santorum;11;Other;1;Undecided;6;;;;
SC;PPP (D);2012-01-20;Automated Phone;http://www.publicpolicypolling.com/pdf/2011/PPP_Release_SC_1201023.pdf;Dem;|Public Policy Polling (D)||Dem|;;2012 South Carolina GOP Primary;Likely Voters - Republican;1540;Romney;28;Gingrich;37;Paul;14;Santorum;16;Undecided;5;;;;;;;;
SC;ARG;2012-01-18;Live Phone;http://americanresearchgroup.com/pres2012/primary/rep/sc/;None;|American Research Group||N/A|;;2012 South Carolina GOP Primary;Likely Voters - Republican;600;Romney;32;Gingrich;33;Paul;19;Perry;4;Santorum;9;Undecided;3;;;;;;
SC;InsiderAdvantage;2012-01-18;Automated Phone;http://chronicle.augusta.com/news/government/elections/2012-01-18/poll-gingrich-takes-lead-south-carolina?v=1326937376;None;|InsiderAdvantage||N/A|;;2012 South Carolina GOP Primary;Likely Voters - Republican;718;Romney;29;Gingrich;32;Paul;15;Perry;3;Santorum;11;Other;3;Undecided;7;;;;
SC;NBC/Marist;2012-01-17;Live Phone;http://maristpoll.marist.edu/119-romney-leads-gingrich-by-10-points-in-south-carolina-5-points-post-debate/;None;|Marist College||N/A|;|NBC News||N/A|;2012 South Carolina GOP Primary;Likely Voters - Republican;684;Romney;34;Gingrich;24;Paul;16;Perry;4;Santorum;14;Undecided;8;;;;;;
SC;Politico (Tarrance);2012-01-18;Live Phone;http://images.politico.com/global/2012/01/120118_questionaire.html;Rep;|Tarrance Group||Rep|;|Politico||N/A|;2012 South Carolina GOP Primary;Likely Voters - Republican;600;Romney;37;Gingrich;30;Paul;11;Perry;4;Santorum;10;Undecided;8;;;;;;
TN;ARG;2012-02-09;Live Phone;http://americanresearchgroup.com/pres2012/primary/rep/tn/;None;|American Research Group||N/A|;;2012 Tennessee GOP Primary;Likely Voters - Republican;600;Romney;27;Gingrich;16;Paul;13;Santorum;34;Other;1;Undecided;9;;;;;;
TN;Vanderbit/PSRA;2012-02-22;Live Phone;http://www.vanderbilt.edu/csdi/Feb_2012_Complete_VU_Poll_Results.pdf;None;|Princeton Survey Research Associates International||N/A|;|Vanderbilt||N/A|;2012 Tennessee GOP Primary;Likely Voters - Republican;767;Romney;17;Gingrich;10;Paul;13;Santorum;33;Undecided;27;;;;;;;;
